"location","device","filter","day","elapsed_time","n_readings","daily_mean_pm","daily_95_pm","daily_mean_rh","daily_mean_t"
"Tainan, Taiwan","AD00403","J2238",2024-10-30,6.3,20,12.9,15.2,26.1,44.7
"Tainan, Taiwan","AD00406","J2167",2024-10-30,6.3,20,10.4,12.4,20.1,46.7
"AASTU, Ethiopia","AD00098","J1708",2024-10-28,7.7,24,2.3,3,22.2,34.5
"AASTU, Ethiopia","AD00098","J1708",2024-10-27,24,73,4.2,9.6,25.5,34.4
"Tainan, Taiwan","AD00403","J2257",2024-10-26,9.3,29,15.1,22.2,36.1,43.2
"Tainan, Taiwan","AD00406","J2183",2024-10-26,9.3,29,16.1,22.7,32.7,42.2
"Tainan, Taiwan","AD00403","J2257",2024-10-25,23.7,72,10.9,14.9,46.4,37.3
"Tainan, Taiwan","AD00406","J2183",2024-10-25,23.7,72,8.2,11.6,36.4,39.6
"Amity University Noida, India","AD00414","J1438",2024-10-24,4,13,140.6,172.6,26.8,42.6
"Tainan, Taiwan","AD00403","J2216",2024-10-24,9.3,29,6,7.4,34.6,38.8
"Tainan, Taiwan","AD00406","J2206",2024-10-24,9.3,29,6,7.3,31.9,37.5
"Amity University Noida, India","AD00414","J1436",2024-10-23,23.3,71,266.9,345.5,35.1,37.6
"Tainan, Taiwan","AD00403","J2216",2024-10-23,23.7,72,10.8,16.8,39.5,35.3
"Tainan, Taiwan","AD00406","J2206",2024-10-23,23.7,72,8,13.2,30.6,37.6
"Amity University Noida, India","AD00413","J1947",2024-10-22,0.3,2,257.9,258.7,27,43.3
"Amity University Noida, India","AD00414","J1436",2024-10-22,23.7,71,307.5,638,36.6,38.2
"Tainan, Taiwan","AD00403","J2261",2024-10-22,9.3,29,24.6,42.9,35.8,42.4
"Tainan, Taiwan","AD00406","J2161",2024-10-22,9.3,29,26.3,46.9,32.9,41.2
"Amity University Noida, India","AD00413","J1926",2024-10-21,3.7,12,306,327.2,41,30.5
"Amity University Noida, India","AD00413","J1958",2024-10-21,5.7,18,178.4,265.1,20.4,46.2
"Amity University Noida, India","AD00414","J1444",2024-10-21,23.3,71,193.1,319.2,39.1,37.9
"Amity University Noida, India","AD00414","J1488",2024-10-21,3.7,12,324.6,354.3,41.5,34.3
"Tainan, Taiwan","AD00403","J2261",2024-10-21,23.7,72,18.1,27.5,43.8,38.3
"Tainan, Taiwan","AD00406","J2161",2024-10-21,23.7,72,13.9,22,33.9,40.8
